t,blue_true_x,blue_true_y,red_true_x,red_true_y,blue_true_vx,blue_true_vy,red_true_vx,red_true_vy,blue_self_x,blue_self_y,red_self_x,red_self_y,blue_on_red_x,blue_on_red_y,red_on_blue_x,red_on_blue_y,uB_t,uB_r,uR_t,uR_r,tr_blue_self,tr_red_self,tr_blue_on_red,tr_red_on_blue,distance_true,blue_self_meas,red_self_meas,blue_saw_red,red_saw_blue,err_blue_self_pos,err_red_self_pos,err_blue_on_red_pos,err_red_on_blue_pos,blue_block_clear,red_block_clear,blue_inner_wall_clear,red_inner_wall_clear,blue_outer_wall_clear,red_outer_wall_clear,blue_critical,red_critical,blue_wrong_side,red_wrong_side,blue_safe_side,red_safe_side,pca_pred_blue_self_active,pca_pred_red_self_active,pca_pred_blue_self_rank,pca_pred_red_self_rank,pca_pred_blue_self_lambda,pca_pred_red_self_lambda,pca_upd_blue_self_active,pca_upd_red_self_active,pca_upd_blue_self_rank,pca_upd_red_self_rank,pca_upd_blue_self_lambda,pca_upd_red_self_lambda,future_min_clear_blue,future_min_clear_red,blue_block_event_id,red_block_event_id,nom_blue_self_x,nom_blue_self_y,nom_red_self_x,nom_red_self_y,blue_self_P11,blue_self_P12,blue_self_P22,red_self_P11,red_self_P12,red_self_P22,blue_on_red_P11,blue_on_red_P12,blue_on_red_P22,red_on_blue_P11,red_on_blue_P12,red_on_blue_P22
0.0,25.570418765468634,21.6428097197253,22.378923866079973,25.596529528282023,-2.587507210305682,3.038767181326143,-3.0093743185700323,2.682751907173715,25.570353620777414,21.6427744567381,22.37894948424107,25.596551503281006,22.37894948424107,25.596551503281006,25.570353620777414,21.6427744567381,1.1621613752988258,0.09964459891689903,1.1459899455542795,0.03047346257394565,0.08002851892410101,0.08002843900864914,0.08002843900864914,0.08002851892410101,5.081096340101972,0.0,0.0,0.0,0.0,7.407637315947865e-5,3.37519000691005e-5,3.37519000691005e-5,7.407637315947865e-5,,,3.5001123640752354,3.999978783758344,8.499887635924765,8.000021216241656,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.57059768017925,21.6424244085179,22.37925644445344,25.596266934719,0.040015135465323884,-2.11739914447719e-7,0.04001338345877712,0.04001509386459281,8.675825248950962e-8,0.04001334514405634,0.04001509386459281,8.675825248950962e-8,0.04001334514405634,0.040015135465323884,-2.11739914447719e-7,0.04001338345877712
0.02,25.518310114875778,21.703875941739966,22.318351807533737,25.65033865939917,-2.607392461891746,3.0607540369478787,-3.0460107801394223,2.6839121375419337,25.518096231183264,21.704486874803294,22.318033078273423,25.64971484255656,22.318033078273423,25.64971484255656,25.518096231183264,21.704486874803294,1.1621701355551788,0.09908506085847113,1.14599957558526,0.03005680883300236,0.08007358265275832,0.08007334332018984,0.08007334332018984,0.08007358265275832,5.0807776127873785,0.0,0.0,0.0,0.0,0.0006472908479118354,0.0007005253703523443,0.0007005253703523443,0.0006472908479118354,,,3.49988629851466,4.0007161799088,8.50011370148534,7.9992838200912,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.51883105164464,21.70343893850966,22.318955972483913,25.648863606372984,0.04003946956546263,-4.4738838635306684e-7,0.04003411308729569,0.040039287598135964,4.4741564381901393e-7,0.04003405572205388,0.040039287598135964,4.4741564381901393e-7,0.04003405572205388,0.04003946956546263,-4.4738838635306684e-7,0.04003411308729569
0.04,25.465849664372556,21.765466424871192,22.256963079825834,25.7041253125552,-2.652200198664168,3.0680099430562535,-3.090586965368601,2.661384794897588,25.465438723251207,21.766427116182033,22.256676076168038,25.703020926894045,22.256676076168038,25.703020926894045,25.465438723251207,21.766427116182033,1.1620853688866346,0.0984684759477526,1.145857055444858,0.02963974670698228,0.08013535457811849,0.08013487658618507,0.08013487658618507,0.08013535457811849,5.08035303360073,0.0,0.0,0.0,0.0,0.0010448925303301868,0.0011410691425814588,0.0011410691425814588,0.0010448925303301868,,,3.499925788285246,4.001095035605417,8.500074211714754,7.998904964394583,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.46691364214452,21.764335724840155,22.25852584346347,25.701323453780915,0.04007310545850429,-7.45252244956419e-7,0.040062249119614195,0.040072694221058996,1.0511227719897166e-6,0.04006218236512608,0.040072694221058996,1.0511227719897166e-6,0.04006218236512608,0.04007310545850429,-7.45252244956419e-7,0.040062249119614195
0.06,25.412458641818485,21.82713330148546,22.19474782978176,25.757554208021144,-2.689713228753384,3.0993783715688243,-3.086210432437896,2.642845767685303,25.41237868515171,21.828592554310625,22.19487676419189,25.75646689489121,22.19487676419189,25.75646689489121,25.41237868515171,21.828592554310625,1.162154718444167,0.09788184469463701,1.1458506063796712,0.029183189506007998,0.08021399931820247,0.08021320363339238,0.08021320363339238,0.08021399931820247,5.079554249383584,0.0,0.0,0.0,0.0,0.0014614417115679727,0.0010949310136438453,0.0010949310136438453,0.0014614417115679727,,,3.4995045095140256,4.000859253947539,8.500495490485974,7.999140746052461,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.414845706423016,21.82511438042678,22.197966357575048,25.75364614162364,0.04011614836738081,-1.1435413738319996e-6,0.04009785095082166,0.04011542861567347,1.8675192890044324e-6,0.040097775017718905,0.04011542861567347,1.8675192890044324e-6,0.040097775017718905,0.04011614836738081,-1.1435413738319996e-6,0.04009785095082166
0.08,25.358303527397627,21.889366632822014,22.132643160256364,25.81056325850433,-2.725563112877273,3.0832589787171485,-3.1366453251397948,2.638408377446794,25.358913726619008,21.890980450193577,22.132633425781947,25.810049887904817,22.132633425781947,25.810049887904817,25.358913726619008,21.890980450193577,1.1620175556387549,0.09718515416888773,1.1458934332605595,0.028758529231645076,0.08030968273410741,0.08030849045702701,0.08030849045702701,0.08030968273410741,5.0774666696501605,0.0,0.0,0.0,0.0,0.0017253259397959433,0.0005134628832126485,0.0005134628832126485,0.0017253259397959433,,,3.499073559931901,4.000574538976494,8.500926440068099,7.999425461023506,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.362627500249452,21.885774518704842,22.13727781590064,25.80583133521634,0.04016870535323437,-1.6803698870660457e-6,0.040140977380873036,0.04016760754980205,2.866706876380261e-6,0.04014088290722496,0.04016760754980205,2.866706876380261e-6,0.04014088290722496,0.04016870535323437,-1.6803698870660457e-6,0.040140977380873036
0.1,25.303500421532352,21.951247996803186,22.06947586688498,25.863477230753833,-2.754331613247656,3.091175091011921,-3.161312294073013,2.608970328050768,25.305041462336817,21.95358811636815,22.069944345084128,25.86376700556476,22.069944345084128,25.86376700556476,25.305041462336817,21.95358811636815,1.162012256509825,0.0966124693395857,1.1459067957627929,0.028287433750148538,0.08042257205956059,0.08042090418326991,0.08042090418326991,0.08042257205956059,5.075869619980423,0.0,0.0,0.0,0.0,0.002801957590569027,0.000550855030045045,0.000550855030045045,0.002801957590569027,,,3.4981256520367694,3.9997238151244474,8.50187434796323,8.000276184875553,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.310259280417412,21.946315753630362,22.076460520419968,25.857878700510966,0.04023088563768936,-2.3937604677039264e-6,0.04019168642187123,0.04022934957586035,4.019350376606768e-6,0.04019155460740956,0.04022934957586035,4.019350376606768e-6,0.04019155460740956,0.04023088563768936,-2.3937604677039264e-6,0.04019168642187123
0.12,25.248056246328275,22.013352967986833,22.00584155296358,25.915834035511182,-2.777193104459217,3.1231538671781633,-3.1815870337688623,2.618591717973517,25.25075952368192,22.016412813000862,22.00680784711804,25.917615330082906,22.00680784711804,25.917615330082906,25.25075952368192,22.016412813000862,1.1619230765813675,0.09601711029281204,1.1458544038420655,0.027880479138775498,0.08055283577402753,0.08055061332818675,0.08055061332818675,0.08055283577402753,5.0735899125033646,0.0,0.0,0.0,0.0,0.004082935213864376,0.002026508017303961,0.002026508017303961,0.004082935213864376,,,3.4970454385298098,3.9983457863805256,8.50295456147019,8.001654213619474,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.257741304743757,22.006737699682823,22.015514774009265,25.909787904098714,0.04030280039491651,-3.321576499731802e-6,0.04025003537911101,0.0403007751900527,5.296654166827217e-6,0.040249838138134056,0.0403007751900527,5.296654166827217e-6,0.040249838138134056,0.04030280039491651,-3.321576499731802e-6,0.04025003537911101
0.14,25.192204593017536,22.076085547193756,21.94182219408638,25.96846535745015,-2.777353858017398,3.1385035763185023,-3.1780142611186952,2.614851930503334,25.196065493417976,22.079451774903653,21.94322225350759,25.971591923883995,21.94322225350759,25.971591923883995,25.196065493417976,22.079451774903653,1.1619091274681281,0.09531945256134203,1.14581679543251,0.027460961037185944,0.0807006435276982,0.08069778743767204,0.08069778743767204,0.0807006435276982,5.07105574082686,0.0,0.0,0.0,0.0,0.005122308161073023,0.0034257238721418443,0.0034257238721418443,0.005122308161073023,,,3.4962792761146986,3.9971286172522227,8.503720723885301,8.002871382747777,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.20507383206768,22.06703997186793,21.95444088043997,25.96155861321247,0.040384562879048444,-4.501460972951851e-6,0.04031608064864975,0.0403820066176667,6.670354205286814e-6,0.040315780820005344,0.0403820066176667,6.670354205286814e-6,0.040315780820005344,0.040384562879048444,-4.501460972951851e-6,0.04031608064864975
0.16,25.13635867280234,22.139156827228984,21.877931373994542,26.0210068679661,-2.7954692176597944,3.1401351979725702,-3.224185363538592,2.6313398357360978,25.140956983406333,22.142702200784623,21.879185862298275,26.02569379351804,21.879185862298275,26.02569379351804,25.140956983406333,22.142702200784623,1.1618234079504854,0.0946478360994511,1.1457751378756518,0.026927272442988714,0.08086616633982596,0.08086259719709002,0.08086259719709002,0.08086616633982596,5.068146426494271,0.0,0.0,0.0,0.0,0.005806387350134992,0.004851908081737979,0.004851908081737979,0.005806387350134992,,,3.495951880016861,3.9961274210453794,8.504048119983139,8.00387257895462,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.15225712224974,22.127222185720406,21.893239144377446,26.01319049572927,0.04047628834533004,-5.970878112543684e-6,0.040389877994495914,0.040473167942705945,8.112912020816568e-6,0.04038942925438407,0.040473167942705945,8.112912020816568e-6,0.04038942925438407,0.04047628834533004,-5.970878112543684e-6,0.040389877994495914
0.18,25.080107656408167,22.202208247177605,21.81295794151387,26.073779744372704,-2.7999516032091654,3.128704927551903,-3.264544854114105,2.618799867434732,25.085431588365278,22.206161268952677,21.81469700781906,26.079917942615463,21.81469700781906,26.079917942615463,25.085431588365278,22.206161268952677,1.1617721768086224,0.09394070524655872,1.14570118342832,0.026476260168361403,0.08104957645847127,0.08104521455632217,0.08104521455632217,0.08104957645847127,5.065899043351278,0.0,0.0,0.0,0.0,0.006631035563027887,0.0063797985298332275,0.0063797985298332275,0.006631035563027887,,,3.495519866215915,3.994810255630391,8.504480133784085,8.00518974436961,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.099291436170862,22.187283957306718,21.83190987137968,26.064683220172753,0.040578094212892456,-7.767055582524249e-6,0.040471482245578824,0.040574385206171744,9.59736958662305e-6,0.04047082935015043,0.040574385206171744,9.59736958662305e-6,0.04047082935015043,0.040578094212892456,-7.767055582524249e-6,0.040471482245578824
